Artefact Materials
Venator dagger
,Third Age iron,16
,Zarosian insignia,12
Venator light crossbow
,Third Age iron,12
,Zarosian insignia,16
Centurion's seal
,Third Age iron,6
,Zarosian insignia,2
Primis Elementis standard
,Samite silk,16
,Third Age iron,12
Legionary gladius
,Third Age iron,10
,Zarosian insignia,6
,Imperial steel,12
Legionary square shield
,Third Age iron,8
,Zarosian insignia,8
,Imperial steel,12
Zaros effigy
,Samite silk,8
,White oak,10
,Zarosian insignia,12
Zarosian training dummy
,Third Age iron,16
,White oak,14
Hookah pipe
,Third Age iron,10
,Goldrune,12
,Orthenglass,8
Opulent wine goblet
,Third Age iron,14
,Goldrune,16
Crest of Dagon
,Goldrune,14
,Orthenglass,18
'Disorder' painting
,Samite silk,6
,White oak,6
,Vellum,6
,Cadmium red,14
Legatus Maximus figurine
,Goldrune,8
,Zarosian insignia,14
,Ancient vis,10
'Solem in Umbra' painting
,Samite silk,8
,White oak,10
,Tyrian purple,14
Imp mask
,Leather scraps,10
,Chaotic brimstone,10
,Demonhide,12
Lesser demon mask
,Leather scraps,6
,Chaotic brimstone,8
,Demonhide,12
,Cadmium red,6
Greater demon mask
,Third Age iron,6
,Leather scraps,6
,Chaotic brimstone,8
,Demonhide,12
Order of Dis robes
,Samite silk,16
,Cadmium red,10
,Eye of Dagon,14
Ritual dagger
,Goldrune,16
,Hellfire metal,24
,Ruby,1
'Frying pan'
,Third Age iron,20
,White marble,24
Hallowed lantern
,Third Age iron,20
,Keramos,24
,White candle,1
Branding iron
,Third Age iron,14
,Eye of Dagon,12
,Hellfire metal,20
Manacles
,Third Age iron,14
,Chaotic brimstone,18
,Eye of Dagon,14
Ancient timepiece
,Goldrune,12
,Imperial steel,16
,Ancient vis,18
Legatus pendant
,Third Age iron,16
,Goldrune,18
,Ancient vis,12
,Dragonstone,1
Ceremonial unicorn ornament
,Keramos,26
,Cobalt blue,20
Ceremonial unicorn saddle
,Leather scraps,24
,Cobalt blue,22
Tetracompass (unpowered)
,Tetracompass piece (right),1
,Tetracompass piece (dial),1
,Tetracompass piece (needle),1
,Malachite green,30
,Cadmium red,30
,Cobalt blue,30
,Armadylean yellow,30
,Tyrian purple,30
Everlight harp
,Everlight silvthril,30
,White oak,22
Everlight trumpet
,Everlight silvthril,28
,Goldrune,24
Everlight violin
,Star of Saradomin,16
,White oak,20
,Samite silk,16
Folded arm figurine (female)
,White marble,30
,Goldrune,24
Folded arm figurine (male)
,White marble,30
,Goldrune,24
'Incite Fear' spell scroll
,Vellum,20
,Ancient vis,18
,Blood of Orcus,18
Pontifex signet ring
,Third Age iron,16
,Goldrune,18
,Ancient vis,22
,Dragonstone,1
Apex cap
,Samite silk,28
,Leather scraps,12
,Ancient vis,20
Curse tablet
,Imperial steel,16
,Zarosian insignia,12
,Soapstone,20
,Blood of Orcus,12
Funerary urn of shadow
,Soapstone,26
,Tyrian purple,14
,Ancient vis,20
Dominion discus
,Keramos,34
,Star of Saradomin,28
Dominion javelin
,Keramos,32
,Third Age iron,30
Dominion pelte shield
,Star of Saradomin,34
,Samite silk,28
Infula robes
,Samite silk,26
,Leather scraps,12
,Goldrune,12
,Tyrian purple,12
Funerary urn of smoke
,Soapstone,28
,Tyrian purple,14
,Ancient vis,20
Hand of the Ancients
,Blood of Orcus,12
,White oak,18
,Ancient vis,14
,Goldrune,18
Decorative amphora
,Tyrian purple,16
,Ancient vis,18
,Soapstone,28
Funerary urn of ice
,Soapstone,28
,Tyrian purple,14
,Ancient vis,20
Loarnab rod
,White oak,28
,Blood of Orcus,16
,Imperial steel,18
Inquisitor's ceremonial armour
,Leather scraps,14
,Samite silk,30
,Tyrian purple,18
Inquisitor's ceremonial mask
,Ancient vis,14
,Leather scraps,12
,Blood of Orcus,14
